VBZ,VBG,JJS,LS,JJR,RBS,POS,IN,CC,),DT,WRB,NNP,RBR,NNPS,'',RP,(,,,PRP$,VB,CD,NNS,JJ,RB,TO,NN,VBP,MD,VBN,VBD,:,WP$,WDT,$,UH,SYM,WP,PDT,.,``,EX,PRP,#,FW
VBZ,1011,2,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,5,3,26,9,0,0,15,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VBG,5,538,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,6,12,2,63,0,0,60,0,0,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JJS,0,0,69,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LS,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
JJR,0,0,0,0,115,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,1,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBS,0,0,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,3,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,2,0,0,0,0,0,4727,2,0,17,0,3,0,0,0,21,0,0,0,0,1,0,8,55,2,0,1,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,6
CC,0,0,0,0,0,0,0,0,1135,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
),0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DT,0,0,0,0,0,0,0,11,3,0,3946,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,3,0,1,0,0,11,0,0,0,0,0,2
WRB,1,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NNP,6,5,0,0,0,0,0,2,0,0,5,0,4714,0,40,0,0,0,0,0,7,41,16,123,2,0,112,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,2,0,29
RBR,0,0,0,0,32,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NNPS,0,2,0,0,0,0,0,0,0,0,0,0,51,0,18,0,0,0,0,0,0,1,9,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
VB,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1089,8,0,11,1,0,22,26,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD,0,4,0,0,0,0,0,0,0,0,1,0,37,0,0,0,0,0,0,0,8,1278,5,64,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
NNS,9,10,0,0,0,0,0,0,0,0,0,0,149,0,14,0,0,0,0,0,2,8,2487,35,3,0,233,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
JJ,3,12,0,0,1,0,0,3,3,0,7,0,144,0,0,0,2,0,0,0,9,23,11,2553,29,1,75,3,0,58,2,0,0,0,0,0,0,0,6,0,0,0,0,0,4
RB,4,5,0,0,0,0,0,60,3,0,4,0,31,4,0,0,24,0,0,0,4,3,3,41,1238,0,16,2,0,14,2,0,0,0,0,2,0,0,0,0,0,3,0,0,0
TO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NN,5,33,0,0,0,0,0,1,2,0,0,0,212,0,0,0,0,0,0,0,11,15,57,219,2,0,5547,8,0,5,4,0,0,0,0,0,0,0,0,0,0,0,3,0,9
VBP,7,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,58,1,3,1,0,0,38,590,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VBN,1,30,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,14,13,9,64,2,0,12,0,0,794,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VBD,16,15,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,6,1,2,5,0,0,17,1,0,95,1344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
WDT,0,0,0,0,0,0,0,20,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0
$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0
