VB,VBD,.,``,POS,'',NNP,RB,PDT,RBS,RBR,FW,IN,UH,JJR,RP,VBN,NN,JJ,CD,,,PRP,WP,WP$,VBG,EX,(,MD,CC,WDT,PRP$,LS,#,DT,NNPS,WRB,JJS,VBP,),VBZ,NNS,TO,$,:,SYM
VB,1089,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,8,22,11,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
VBD,6,1344,0,0,0,0,16,0,0,0,0,0,0,0,0,0,95,17,5,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,2,0,0,0,0
.,0,0,1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
``,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
'',0,0,0,0,1,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NNP,7,4,0,0,0,0,4714,2,0,0,0,29,2,0,0,0,5,112,123,41,0,2,0,0,5,0,0,0,0,0,0,0,0,5,40,0,0,0,0,6,16,0,0,0,0
RB,4,2,0,0,0,0,31,1238,0,0,4,0,60,2,0,24,14,16,41,3,0,0,0,0,5,3,0,0,3,0,0,0,0,4,0,0,0,2,0,4,3,0,0,0,0
PDT,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBS,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
RBR,1,0,0,0,0,0,0,7,0,0,44,0,0,0,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FW,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,0,0,0,0,0,3,55,0,0,0,6,4727,0,0,21,0,0,8,1,0,0,0,0,2,0,0,0,2,6,0,0,0,17,0,0,0,1,0,0,0,2,0,0,1
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JJR,0,0,0,0,0,0,0,1,0,0,30,0,0,0,115,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,0,0,0,0,0,0,0,12,0,0,0,0,24,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VBN,14,54,0,0,0,0,19,2,0,0,0,0,0,0,0,0,794,12,64,13,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
